timestamp,value,is_anomaly
1,0,0
2,76,0
3,59,0
4,54,0
5,57,0
6,67,0
7,67,0
8,74,0
9,57,0
10,89,0
11,129,0
12,114,0
13,48,0
14,34,0
15,35,0
16,28,0
17,42,0
18,56,0
19,150,0
20,113,0
21,73,0
22,81,0
23,229,0
24,73,0
25,146,0
26,130,0
27,148,0
28,85,0
29,70,0
30,63,0
31,112,0
32,62,0
33,121,0
34,96,0
35,126,0
36,111,0
37,46,0
38,84,0
39,31,0
40,36,0
41,38,0
42,93,0
43,63,0
44,70,0
45,174,0
46,225,0
47,184,0
48,121,0
49,79,0
50,62,0
51,158,0
52,79,0
53,60,0
54,50,0
55,47,0
56,104,0
57,163,0
58,59,0
59,57,0
60,59,0
61,47,0
62,40,0
63,33,0
64,20,0
65,22,0
66,27,0
67,125,0
68,42,0
69,66,0
70,141,0
71,148,0
72,59,0
73,113,0
74,121,0
75,123,0
76,50,0
77,38,0
78,93,0
79,43,0
80,53,0
81,152,0
82,55,0
83,48,0
84,52,0
85,47,0
86,36,0
87,76,0
88,21,0
89,23,0
90,33,0
91,94,0
92,50,0
93,162,0
94,95,0
95,131,0
96,178,0
97,134,0
98,87,0
99,64,0
100,60,0
101,67,0
102,67,0
103,52,0
104,166,0
105,157,0
106,122,0
107,81,0
108,62,0
109,50,0
110,32,0
111,34,0
112,32,0
113,28,0
114,21,0
115,234,0
116,105,0
117,80,0
118,125,0
119,185,0
120,154,0
121,74,0
122,69,0
123,112,0
124,63,0
125,114,0
126,74,0
127,80,0
128,70,0
129,143,0
130,219,0
131,54,0
132,43,0
133,28,0
134,105,0
135,34,0
136,40,0
137,40,0
138,37,0
139,87,0
140,101,0
141,179,0
142,227,0
143,120,0
144,114,0
145,79,0
146,102,0
147,78,0
148,114,0
149,67,0
150,60,0
151,55,0
152,59,0
153,110,0
154,192,0
155,92,0
156,60,0
157,53,0
158,48,0
159,31,0
160,23,0
161,59,0
162,74,0
163,115,0
164,64,0
165,68,0
166,107,0
167,135,0
168,166,0
169,74,0
170,59,0
171,69,0
172,70,0
173,66,0
174,69,0
175,49,0
176,99,0
177,63,0
178,117,0
179,67,0
180,107,0
181,103,0
182,38,0
183,81,0
184,33,0
185,84,0
186,29,0
187,76,0
188,38,0
189,53,0
190,120,0
191,61,0
192,89,0
193,76,0
194,174,0
195,64,0
196,123,0
197,59,0
198,55,0
199,157,0
200,98,0
201,123,0
202,99,0
203,51,0
204,93,0
205,37,0
206,58,0
207,44,0
208,31,0
209,33,0
210,87,0
211,99,0
212,48,0
213,60,0
214,75,0
215,196,0
216,154,0
217,122,0
218,103,0
219,72,0
220,556,0
221,84,0
222,1247,1
223,186,0
224,133,0
225,129,0
226,72,0
227,51,0
228,51,0
229,33,0
230,84,0
231,73,0
232,27,0
233,80,0
234,37,0
235,37,0
236,150,0
237,64,0
238,103,0
239,146,0
240,124,0
241,78,0
242,178,0
243,102,0
244,77,0
245,53,0
246,49,0
247,111,0
248,851,0
249,151,0
250,44,0
251,56,0
252,728,0
253,184,0
254,77,0
255,18,0
256,22,0
257,78,0
258,42,0
259,129,0
260,72,0
261,53,0
262,59,0
263,151,0
264,112,0
265,58,0
266,62,0
267,111,0
268,99,0
269,114,0
270,49,0
271,107,0
272,107,0
273,103,0
274,44,0
275,63,0
276,41,0
277,93,0
278,79,0
279,19,0
280,20,0
281,89,0
282,41,0
283,42,0
284,51,0
285,110,0
286,57,0
287,71,0
288,75,0
289,117,0
290,95,0
291,133,0
292,132,0
293,131,0
294,151,0
295,105,0
296,60,0
297,157,0
298,61,0
299,60,0
300,133,0
301,86,0
302,25,0
303,23,0
304,25,0
305,75,0
306,65,0
307,107,0
308,65,0
309,55,0
310,85,0
311,62,0
312,143,0
313,84,0
314,130,0
315,89,0
316,118,0
317,114,0
318,109,0
319,131,0
320,85,0
321,125,0
322,85,0
323,79,0
324,182,0
325,97,0
326,87,0
327,38,0
328,37,0
329,76,0
330,35,0
331,43,0
332,59,0
333,50,0
334,77,0
335,160,0
336,78,0
337,171,0
338,74,0
339,67,0
340,75,0
341,112,0
342,174,0
343,61,0
344,78,0
345,73,0
346,85,0
347,132,0
348,63,0
349,39,0
350,43,0
351,45,0
352,40,0
353,82,0
354,35,0
355,40,0
356,49,0
357,78,0
358,189,0
359,114,0
360,57,0
361,84,0
362,82,0
363,68,0
364,66,0
365,338,0
366,110,0
367,93,0
368,38,0
369,112,0
370,108,0
371,52,0
372,52,0
373,65,0
374,34,0
375,29,0
376,43,0
377,85,0
378,46,0
379,55,0
380,71,0
381,66,0
382,106,0
383,72,0
384,92,0
385,60,0
386,71,0
387,96,0
388,129,0
389,121,0
390,130,0
391,54,0
392,63,0
393,82,0
394,80,0
395,112,0
396,80,0
397,83,0
398,115,0
399,38,0
400,43,0
401,41,0
402,38,0
403,38,0
404,57,0
405,66,0
406,73,0
407,117,0
408,60,0
409,83,0
410,73,0
411,71,0
412,108,0
413,63,0
414,116,0
415,109,0
416,64,0
417,80,0
418,192,0
419,118,0
420,141,0
421,59,0
422,52,0
423,50,0
424,43,0
425,69,0
426,78,0
